名次  姓名  语文  数学  英语  物理  化学  生物  政治  历史  地理  总分  平均分
0  平均  69  70  68  69  72  69  60  71  74  625  139.01
1  小沈  94  95  72  86  78  78  不及格  95  96  737  163.78
2  小郑  84  93  不及格  94  86  71  69  81  71  708  157.33
3  小朱  97  91  88  86  86  不及格  61  不及格  82  701  155.78
4  小施  88  74  不及格  不及格  78  87  96  88  90  687  152.67
5  小何  86  不及格  86  不及格  76  92  79  95  不及格  663  147.33
6  小张  不及格  87  不及格  88  95  78  91  不及格  94  662  147.11
7  小赵  73  85  80  82  93  不及格  64  87  不及格  660  146.67
8  小金  78  84  77  不及格  79  82  不及格  74  94  660  146.67
9  小华  不及格  85  85  72  62  87  94  73  不及格  645  143.33
10  小陈  98  90  64  71  90  65  不及格  不及格  89  640  142.22
11  小魏  75  不及格  不及格  85  不及格  60  97  99  69  638  141.78
12  小卫  70  67  不及格  96  94  69  62  72  72  635  141.11
13  小孙  95  64  87  79  不及格  70  不及格  72  87  633  140.67
14  小吴  不及格  83  80  94  90  86  不及格  不及格  64  629  139.78
15  小吕  不及格  不及格  81  不及格  95  80  不及格  81  99  619  137.56
16  小钱  不及格  91  81  92  72  不及格  不及格  65  83  617  137.11
17  小杨  86  93  87  不及格  75  不及格  不及格  60  81  617  137.11
18  小秦  不及格  不及格  64  78  89  91  不及格  94  61  612  136.00
19  小孔  不及格  86  88  83  80  90  不及格  78  不及格  610  135.56
20  小曹  63  不及格  不及格  94  不及格  不及格  73  91  78  607  134.89
21  小楮  90  不及格  70  不及格  88  73  69  74  60  605  134.44
22  小严  不及格  71  77  60  91  79  90  不及格  61  602  133.78
23  小许  不及格  72  99  不及格  不及格  92  62  92  65  601  133.56
24  小蒋  82  不及格  63  70  60  67  不及格  69  92  600  133.33
25  小李  87  不及格  81  不及格  73  不及格  不及格  74  97  591  131.33
26  小冯  不及格  74  83  69  不及格  78  73  不及格  不及格  587  130.44
27  小韩  83  70  不及格  74  不及格  不及格  不及格  93  78  578  128.44
28  小尤  74  67  63  不及格  不及格  89  不及格  66  76  578  128.44
29  小王  75  83  不及格  不及格  72  不及格  不及格  64  80  525  116.67
30  小周  不及格  不及格  66  65  不及格  不及格  70  不及格  89  520  115.56
